board	similarity
Agriculture	0.762653946632
Olympics_ISG	0.632104417701
Ecophilia	0.560530988711
EarthScience	0.503800569028
Oceanography	0.47226775388
PublicBike	0.417289934263
IA	0.260051362292
Soccer	0.259502818082
swim	0.245009631445
Road	0.239086512518
CrossStrait	0.194707215882
Bus	0.191429591327
Navy	0.185685552478
AirForce	0.180156468153
ZACTION	0.178715537792
MRT	0.178412544116
juniorhigh	0.174145269106
TY_Research	0.149873902891
medache	0.13902722111
Cga	0.116921096204
Jinmen	0.109367280795
Railway	0.104294079249
Tennis	0.102538946737
Badminton	0.0956358740967
China_travel	0.0704972104786
Militarylife	0.0556609531652
TAXI	0.0510047515683
basketballTW	0.0446926312297
Korea_Travel	0.0430032054922
Aviation	0.0428817433961
PH-sea	0.041683593078
NTU	0.0313628503005
Key_Mou_Pad	0.0312840032057
Post	0.031125251751
PttEarnMoney	0.0302053150352
sex	0.0185847814982
V_ScHooL	0.0185131401248
ask	0.0157276974721
Test	0.0151798758812
home-sale	0.0135434586356
Gossiping	0.0118838065317
Hate	0.0109430456599
Japan_Travel	0.0107589635342
LoL	0.00904625424463
Tainan	0.00639392232913
Baseball	0.00633259997576
