board	similarity
PCCC	0.125401605132
nmsmusic	0.121090003095
Ptt-Press	0.112281708837
PCSH_talk	0.112281708837
PC26th318	0.112281708837
TNFSH102nd	0.0987942510715
Lefty	0.0876453086714
Hate	0.081542112055
pighead	0.0806910332852
CAPOO	0.080638358677
MenTalk	0.072326994856
OCU	0.0675730202896
WeiBird	0.0588456623507
single	0.0582826727016
PSY	0.0505149567636
THU_Talk	0.0492174604719
pity	0.0483270376388
ZACTION	0.0438767294887
Wei-Lun	0.0433638665128
ZCLUB	0.0405252944985
GossipPicket	0.0400183480241
Dreamland	0.0378737195731
painting	0.0376259653977
L_TalkandCha	0.0355248436381
heart	0.0323933725748
Diary	0.0322145904394
Pharmacy	0.0317219276695
DistantLove	0.0292016271618
NCTU_TALK	0.0289466676263
Lonely	0.0289057484026
WomenTalk	0.0283024248314
ID_Multi	0.0275485852966
happy	0.0269533360935
LeicesterCFC	0.0244649346926
ONE_PIECE	0.0236645139297
Bank_Service	0.0234693365882
joke	0.0204351815126
rent-exp	0.0201632467567
biker	0.0193641484074
ID_Problem	0.0188695856979
Rhinos	0.0178674908847
NCHUS	0.0178224564357
Beauty	0.0176876015256
I.O.I	0.0175037658888
Gossiping	0.0172738346168
NewActivity	0.0172637095269
Japandrama	0.0171164305666
Cancer	0.0170820353478
Eng-Class	0.0170314871913
StupidClown	0.016352250321
SummonsBoard	0.0161678249623
Nangang	0.0158042633101
GambleGhost	0.0149076065276
BigBanciao	0.0149034381178
sex	0.014229439784
Test	0.0126630363376
Sijhih	0.0114767023052
TaiwanDrama	0.0103535098864
PttEarnMoney	0.010297852266
Neihu	0.00983627256645
Wanted	0.00888671159393
SENIORHIGH	0.00701234779703
e-coupon	0.0064706265174
Boy-Girl	0.00574550127515
car	0.00550673235578
give	0.00530616737291
ask	0.00511109804349
Hsinchu	0.00458021301923
TaichungBun	0.0031785110907
HelpBuy	0.00285716154862
forsale	0.0022824611777
