board	similarity
Stall	0.114901052225
FineArt	0.076019719123
Art-Service	0.076019719123
AIESEC	0.076019719123
AsiaMovies	0.0746481745333
NTU-Taipei	0.0605962686274
ASES-Taiwan	0.0605962686274
Native	0.0555360617156
Ptt-Charity	0.0474081206702
CLOCA	0.0456216115893
Comic	0.0433560539069
joyinDIY	0.0428983209873
speech	0.0403082345562
asciiart	0.0384699718869
Calendar	0.0377002390798
Printer_scan	0.0363674504239
unemployed	0.0356646293118
SongShan	0.0350186283924
Ourmovies	0.0349333063524
STREET_BALL	0.0305107207687
Tour-Manager	0.029467051797
Architecture	0.0290974969893
Interior	0.0274820976799
Publish	0.0269671404762
Design	0.0240788958339
JOB-Hunting	0.0218399936971
share	0.0192809419239
HandMade	0.0185985262835
Refresh	0.017700501025
tattoo_ring	0.0172707302755
Mechanical	0.0166413248869
Oversea_Job	0.01555037199
HRM	0.0152206143836
learnyf	0.0150315384003
Aromatherapy	0.014857691498
Aviation	0.0135595772895
Thailand	0.0128769749696
Soft_Job	0.012637768513
Salesperson	0.0125040022132
book	0.0112639029588
NewActivity	0.0101881257521
Android	0.00984287069954
EAseries	0.0097061103909
tax	0.00970565299994
BigShiLin	0.0095455535724
I-Lan	0.00923744011518
rabbit	0.00913310267198
Sijhih	0.00901761145151
car	0.00825050509107
HomeTeach	0.00821610192329
CareerPlan	0.00806995661624
Militarylife	0.00795977015569
MobileComm	0.00793439113571
facelift	0.0078504233907
aqua-shop	0.00782070186359
medstudent	0.00758152639944
Tainan	0.00729313466669
joke	0.00720980337509
NTU	0.00710548923658
MenTalk	0.0068845332877
Taoyuan	0.00672385891303
Chiayi	0.00659722490772
part-time	0.00651678764282
Food	0.00646249570591
Gossiping	0.00612685453754
Headphone	0.00586370884583
LoL	0.00577542760948
BigSanchung	0.00575904439608
sex	0.00557330806435
HelpBuy	0.00513243121058
Kaohsiung	0.0044905101854
home-sale	0.00446530664767
cat	0.00366745168132
Test	0.00344065942683
Japan_Travel	0.00306532859452
movie	0.00284804366389
give	0.00266629991485
AllTogether	0.00251305051629
TaichungBun	0.00249745765359
forsale	0.00201847143543
Wanted	0.00164310864191
